pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
CH,86.5,-2.1249,5.8879,Bryce Harper,8.0,R,fly_ball,2017,-1.153,1.1742,0.125,1.5006,7.8013,-125.51899999999999,-6.7393,-13.9213,23.4522,-18.3972,2.9339999999999997,1.2365,414.0,105.9,22.221,87.389,1931.0,6.8229999999999995,53.6739,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
CU,74.3,-1.756,6.065,Bryce Harper,5.0,R,line_drive,2017,1.0722,0.1,-0.0382,2.1264,1.6419,-107.9057,-0.8735,7.9553,22.015,-31.4687,2.9621,1.2646,356.0,105.9,23.134,73.829,2450.0,6.433,54.0663,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,92.8,-1.8313,5.9038,Bryce Harper,1.0,R,fly_ball,2015,-1.381386667,1.200323333,-0.366,3.138,6.587999999999999,-134.933,-3.19,-16.553,29.769000000000002,-19.253,3.2,1.46,378.0,105.4,38.649,93.219,1878.0,6.729,53.77,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FF,91.8,-1.2221,6.205,Bryce Harper,1.0,R,fly_ball,2016,-0.502966667,1.194733333,-0.691,2.694,1.32,-133.69299999999998,-4.879,-4.85,28.47,-19.529,3.04,1.51,423.0,105.4,25.495,90.125,2222.0,5.3210000000000015,55.1777,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
SL,88.0,-1.6459,5.7472,Bryce Harper,3.0,R,fly_ball,2016,0.219308333,0.817766667,0.81,2.983,5.397,-128.08,-2.449,4.235,22.948,-24.837,3.13,1.56,405.0,105.4,30.886999999999997,87.14,2425.0,5.496,55.0024,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FT,94.5,-1.4569999999999999,6.3996,Bryce Harper,8.0,R,line_drive,2016,-1.260033333,1.5545,-0.10800000000000001,1.736,5.434,-137.208,-9.527000000000001,-15.443,31.026,-14.136,3.12,1.56,422.0,105.4,21.351,93.35,1977.0,5.516,54.9847,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
SI,93.0,-2.6257,5.8717,Bryce Harper,4.0,R,line_drive,2015,-1.639958333,0.6658333329999999,-0.5670000000000001,2.138,7.258999999999999,-135.346,-3.7569999999999997,-19.913,32.400999999999996,-26.136999999999997,3.2,1.48,415.0,105.3,25.756999999999998,91.98299999999999,1918.0,6.006,54.4951,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
CU,76.3,-1.5247,6.1039,Bryce Harper,2.0,R,fly_ball,2017,0.5538,-0.1597,-0.2716,2.511,1.6428,-110.6444,-0.0861,4.0401,23.2335,-33.7134,2.9343,1.2369,412.0,105.3,32.917,74.657,2554.0,5.662999999999999,54.8343,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,93.2,-2.2553,6.3298,Bryce Harper,12.0,R,fly_ball,2015,-0.52245,1.393966667,0.212,3.452,5.584,-135.66899999999998,-3.989,-5.364,23.631,-16.232,3.19,1.48,442.0,104.7,28.7,92.639,2179.0,5.61,54.8909,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FF,89.7,-2.4688,6.0369,Bryce Harper,2.0,R,fly_ball,2017,-0.8745,1.5798,0.0529,2.583,8.1024,-130.1384,-5.8767,-11.7118,27.5274,-13.0758,2.9457,1.2484,440.0,104.6,25.013,89.83,2202.0,6.544,53.9553,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
